DATABASE_ID,MOLECULAR_WEIGHT,DRUG_GROUPS,GENERIC_NAME,SMILES,drug,Property,Value,Probability
DB00514,271.404,approved,Dextromethorphan,[H][C@]12CC3=C(C=C(OC)C=C3)[C@@]3(CCCC[C@]13[H])CCN2C,DB00514,Blood Brain Barrier,+,0.9989
DB00496,426.55,approved,Darifenacin,NC(=O)C([C@@H]1CCN(CCC2=CC3=C(OCC3)C=C2)C1)(C1=CC=CC=C1)C1=CC=CC=C1,DB00496,Blood Brain Barrier,+,0.9989
DB00956,299.3642,approved,Hydrocodone,[H][C@@]12OC3=C(OC)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])CCC2=O,DB00956,Blood Brain Barrier,+,0.9984
DB00593,141.1677,approved,Ethosuximide,CCC1(C)CC(=O)NC1=O,DB00593,Blood Brain Barrier,+,0.9983
DB00318,299.3642,approved,Codeine,[H][C@]12C=C[C@H](O)[C@@H]3OC4=C5C(C[C@H]1N(C)CC[C@@]235)=CC=C4OC,DB00318,Blood Brain Barrier,+,0.9979
DB00981,275.3461,approved,Physostigmine,[H][C@]12N(C)CC[C@@]1(C)C1=C(C=CC(OC(=O)NC)=C1)N2C,DB00981,Blood Brain Barrier,+,0.9975
DB00832,189.2105,approved,Phensuximide,CN1C(=O)CC(C1=O)C1=CC=CC=C1,DB00832,Blood Brain Barrier,+,0.9975
DB00776,252.268,approved,Oxcarbazepine,NC(=O)N1C2=CC=CC=C2CC(=O)C2=C1C=CC=C2,DB00776,Blood Brain Barrier,+,0.9975
DB01551,301.3801,approved,Dihydrocodeine,[H][C@@]12OC3=C(OC)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])CC[C@@H]2O,DB01551,Blood Brain Barrier,+,0.9974
DB01228,352.4699,approved,Encainide,COC1=CC=C(C=C1)C(=O)NC1=CC=CC=C1CCC1CCCCN1C,DB01228,Blood Brain Barrier,+,0.9971
DB00268,260.3746,approved,Ropinirole,CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1,DB00268,Blood Brain Barrier,+,0.9971
DB05246,203.2371,approved,Methsuximide,CN1C(=O)CC(C)(C1=O)C1=CC=CC=C1,DB05246,Blood Brain Barrier,+,0.9967
