id	pr_analyte_id	pr_analyte_num	pr_bset_id	pr_lua_id	pr_pool_id	pr_gene_id	pr_gene_symbol	pr_gene_title	pr_is_bing	pr_is_inf	pr_is_lmark	pr_model_id
200814_at	Analyte 11	11	dp52	LUA-3404	epsilon	5720	PSME1	"proteasome (prosome, macropain) activator subunit 1 (PA28 alpha)"	1	1	Y	-666
218597_s_at	Analyte 12	12	dp52	LUA-3431	epsilon	55847	CISD1	CDGSH iron sulfur domain 1	1	1	Y	-666
217140_s_at	Analyte 12	12	dp53	LUA-4000	epsilon	7416	VDAC1	voltage-dependent anion channel 1	1	1	Y	-666
209253_at	Analyte 13	13	dp53	LUA-4040	epsilon	10174	SORBS3	sorbin and SH3 domain containing 3	1	1	Y	-666
214404_x_at	Analyte 13	13	dp52	LUA-1326	epsilon	25803	SPDEF	SAM pointed domain containing ets transcription factor	1	1	Y	-666
222103_at	Analyte 14	14	dp52	LUA-3660	epsilon	466	ATF1	activating transcription factor 1	1	1	Y	-666
219888_at	Analyte 14	14	dp53	LUA-4029	epsilon	6676	SPAG4	sperm associated antigen 4	1	1	Y	-666
207042_at	Analyte 15	15	dp53	LUA-3976	epsilon	1870	E2F2	E2F transcription factor 2	1	1	Y	-666
201453_x_at	Analyte 15	15	dp52	LUA-3487	epsilon	6009	RHEB	Ras homolog enriched in brain	1	1	Y	-666
203627_at	Analyte 16	16	dp52	LUA-3564	epsilon	3480	IGF1R	insulin-like growth factor 1 receptor	1	1	Y	-666
204087_s_at	Analyte 16	16	dp53	LUA-314	epsilon	8884	SLC5A6	"solute carrier family 5 (sodium-dependent vitamin transporter), member 6"	1	1	Y	-666
204131_s_at	Analyte 17	17	dp52	LUA-4141	epsilon	2309	FOXO3	forkhead box O3	1	1	Y	-666
202388_at	Analyte 17	17	dp53	LUA-422	epsilon	5997	RGS2	"regulator of G-protein signaling 2, 24kDa"	1	1	Y	-666
204418_x_at	Analyte 18	18	dp52	LUA-3542	epsilon	2946	GSTM2	glutathione S-transferase mu 2 (muscle)	1	1	Y	-666
205607_s_at	Analyte 18	18	dp53	LUA-300	epsilon	57147	SCYL3	SCY1-like 3 (S. cerevisiae)	1	1	Y	-666
200059_s_at	Analyte 19	19	dp52	LUA-3488	epsilon	387	RHOA	"ras homolog gene family, member A"	1	1	Y	-666
213417_at	Analyte 19	19	dp53	LUA-542	epsilon	6909	TBX2	T-box 2	1	1	Y	-666
205963_s_at	Analyte 20	20	dp53	LUA-4081	epsilon	9093	DNAJA3	"DnaJ (Hsp40) homolog, subfamily A, member 3"	1	1	Y	-666
205067_at	Analyte 20	20	dp52	LUA-4352	epsilon	3553	IL1B	"interleukin 1, beta"	1	1	Y	-666
213702_x_at	Analyte 21	21	dp52	LUA-3659	epsilon	427	ASAH1	N-acylsphingosine amidohydrolase (acid ceramidase) 1	1	1	Y	-666
